Sample,ST,arcC,aroE,glpF,gmk,pta,tpi,yqiL,mismatches,uncertainty,depth,maxMAF,CC
AD_1533-70-bjd18,1,1,1,1,1,1,1,1,0,-,81.515,0.14285714285700002,CC1
AD_1447-14-bjd18,1,1,1,1,1,1,1,1,0,-,81.5672857143,0.056603773584900006,CC1
303-NC2-jid18,1,1,1,1,1,1,1,1,0,-,89.6,0.08333333333330001,CC1
AD_1572-90-bjd18,109,3,27,1,1,1,1,10,0,-,93.20014285709999,0.125,CC1
3_ls-jac18,1,1,1,1,1,1,1,1,0,-,69.6421428571,0.0769230769231,CC1
41_n-jac18,1*,1,1,1,1*,1,1,1,gmk_1/1snp,-,63.9172857143,0.050847457627099996,CC1
P091-15_softtissue-elf17,573,1,1,1,1,12,1,1,0,-,98.3445714286,0.0731707317073,CC1
P088-10_softtissue-elf17,188,3,1,1,8,1,1,1,0,-,76.4932857143,0.0384615384615,CC1
P087-8_blood-elf17,1,1,1,1,1,1,1,1,0,-,71.3705714286,0.05769230769230001,CC1
50_ls-jac18,1,1,1,1,1,1,1,1,0,-,72.9261428571,0.0769230769231,CC1
52_ls-jac18,1*,1,1*,1,1,1,1,1,aroE_1/1snp,-,90.9557142857,0.043010752688199996,CC1
53_ls-jac18,1,1,1,1,1,1,1,1,0,-,52.693571428599995,0.07142857142860001,CC1
P097-17_softtissue-elf17,1,1,1,1,1,1,1,1,0,-,89.6007142857,0.0416666666667,CC1
P046-1_blood-elf17,1,1,1,1,1,1,1,1,0,-,132.19585714299998,0.019607843137299998,CC1
AD_1332-23-bjd18,109,3,27,1,1,1,1,10,0,-,104.020285714,0.1,CC1
P072-6_softtissue-elf17,1,1,1,1,1,1,1,1,0,-,81.8965714286,0.0333333333333,CC1
9_n-jac18,1,1,1,1,1,1,1,1,0,-,59.078714285699995,0.0857142857143,CC1
AD_310B-113-bjd18,1290,1,4,1,1,11,1,3,0,-,49.0084285714,0.115384615385,CC1
P069-9_bone-joint-elf17,109,3,27,1,1,1,1,10,0,-,52.6317142857,0.0425531914894,CC1
76_ls-jac18,1,1,1,1,1,1,1,1,0,-,64.6051428571,0.052631578947400004,CC1
AD_279B-47-bjd18,1,1,1,1,1,1,1,1,0,-,62.187571428599995,0.06818181818180001,CC1
82_ls-jac18,1,1,1,1,1,1,1,1,0,-,64.7935714286,0.0571428571429,CC1
AD_262B-20-bjd18,1,1,1,1,1,1,1,1,0,-,71.4488571429,0.0975609756098,CC1
P002-10_softtissue-elf17,772,1,1,1,1,22,1,1,0,-,165.154142857,0.0185185185185,CC1
88_ls-jac18,1,1,1,1,1,1,1,1,0,-,43.888999999999996,0.07407407407410001,CC1
58_ls-jac18,1,1,1,1,1,1,1,1,0,-,85.0088571429,0.07142857142860001,CC1
NC_1403-53-bjd18,1,1,1,1,1,1,1,1,0,-,41.2745714286,0.105263157895,CC1
37_ls-jac18,1,1,1,1,1,1,1,1,0,-,79.482,0.0571428571429,CC1
AD_1570-88-bjd18,1,1,1,1,1,1,1,1,0,-,82.897,0.07462686567160001,CC1
NC_1263-30-bjd18,2700,4,1,1,14,1,1,1,0,-,93.82671428569999,0.09302325581399999,CC1
NC_1253-28-bjd18,188,3,1,1,8,1,1,1,0,-,48.7908571429,0.0909090909091,CC1
P030-10_softtissue-elf17,1,1,1,1,1,1,1,1,0,-,83.6304285714,0.0344827586207,CC1
PSAE01-E1-ic5-jid18,188,3,1,1,8,1,1,1,0,-,113.056285714,0.140845070423,CC1
AD_1564-78-bjd18,1,1,1,1,1,1,1,1,0,-,91.5247142857,0.10638297872300001,CC1
AD_1565-80-bjd18,1908,1,1,1,1,211,1,1,0,-,61.1365714286,0.0645161290323,CC1
10_n-jac18,1,1,1,1,1,1,1,1,0,-,94.66014285709998,0.0689655172414,CC1
NC_1359-45-bjd18,1,1,1,1,1,1,1,1,0,-,67.3617142857,0.08,CC1
PSAE004-E2-C4-jid18,1,1,1,1,1,1,1,1,0,-,179.879714286,0.0416666666667,CC1
AD_1473-33-bjd18,1,1,1,1,1,1,1,1,0,-,203.045857143,0.0421052631579,CC1
AD_1470-31-bjd18,1,1,1,1,1,1,1,1,0,-,62.7961428571,0.125,CC1
P040-8_blood-elf17,3434,1,1,457,1,1,1,1,0,-,103.63985714299999,0.0392156862745,CC1
92_ls-jac18,1,1,1,1,1,1,1,1,0,-,71.4467142857,0.0769230769231,CC1
17_ls-jac18,1,1,1,1,1,1,1,1,0,-,37.6031428571,0.130434782609,CC1
PSAE003-E2-Col3-jid18,1,1,1,1,1,1,1,1,0,-,177.519428571,0.0717703349282,CC1
30_ls-jac18,15,13,13,1,1,12,11,13,0,-,82.4021428571,0.0555555555556,CC15
P070-10_blood-elf17,1535,13,13,1,1,81,11,13,0,-,94.78814285709998,0.046511627906999996,CC15
P104-7_bone-joint-elf17,582,13,13,1,1,12,10,13,0,-,182.06771428599998,0.0183486238532,CC15
P010-13_softtissue-elf17,15,13,13,1,1,12,11,13,0,-,79.3701428571,0.061224489795900006,CC15
P006-8_softtissue-elf17,15,13,13,1,1,12,11,13,0,-,162.63585714299998,0.025316455696200002,CC15
P038-7_blood-elf17,15,13,13,1,1,12,11,13,0,-,130.086142857,0.0188679245283,CC15
28_ls-jac18,15,13,13,1,1,12,11,13,0,-,79.5927142857,0.0540540540541,CC15
057-NC1-jid18,582,13,13,1,1,12,10,13,0,-,132.42157142899998,0.09170305676860001,CC15
045-NC5-jid18,15,13,13,1,1,12,11,13,0,-,99.184,0.08333333333330001,CC15
84_ls-jac18,582,13,13,1,1,12,10,13,0,-,80.9302857143,0.0606060606061,CC15
93_ls-jac18,15,13,13,1,1,12,11,13,0,-,117.19842857100001,0.06976744186049999,CC15
P058-10_blood-elf17,15,13,13,1,1,12,11,13,0,-,113.212142857,0.023255813953499998,CC15
P041-6_blood-elf17,15,13,13,1,1,12,11,13,0,-,105.184714286,0.016393442623,CC15
P100-8_bone-joint-elf17,582,13,13,1,1,12,10,13,0,-,163.460285714,0.020833333333299998,CC15
P063-6_blood-elf17,15,13,13,1,1,12,11,13,0,-,167.369714286,0.0300751879699,CC15
P003-8_softtissue-elf17,5578,13,13,754,1,12,11,13,0,-,155.389857143,0.017543859649099998,CC15
16_ls-jac18,15*,13,13,1,1,12,11*,13,tpi_11/1snp,-,84.4645714286,0.05,CC15
AD_1445-10-bjd18,15,13,13,1,1,12,11,13,0,-,124.65,0.06818181818180001,CC15
15_n-jac18,15,13,13,1,1,12,11,13,0,-,28.953285714299998,0.33333333333299997,CC15
43_ls-jac18,15*,13,13*,1,1,12,11,13,aroE_13/1snp,-,100.978857143,0.0769230769231,CC15
AD_1469-29-bjd18,15,13,13,1,1,12,11,13,0,-,106.331142857,0.131868131868,CC15
153-NC3-jid18,582,13,13,1,1,12,10,13,0,-,141.246857143,0.0836501901141,CC15
NC_1102-16-bjd18,15,13,13,1,1,12,11,13,0,-,60.2487142857,0.103448275862,CC15
P086-8_blood-elf17,2255,13,13,1,174,12,11,13,0,-,96.8771428571,0.0344827586207,CC15
P093-13_softtissue-elf17,582,13,13,1,1,12,10,13,0,-,140.21514285700002,0.046728971962599994,CC15
67_n-jac18,582,13,13,1,1,12,10,13,0,-,79.4328571429,0.0454545454545,CC15
68_ls-jac18,15,13,13,1,1,12,11,13,0,-,86.8968571429,0.06,CC15
56_n-jac18,582,13,13,1,1,12,10,13,0,-,67.766,0.06666666666669999,CC15
33_ls-jac18,582,13,13,1,1,12,10,13,0,-,75.1377142857,0.0645161290323,CC15
23_ls-jac18,15,13,13,1,1,12,11,13,0,-,94.98328571430001,0.0588235294118,CC15
P022-8_blood-elf17,15,13,13,1,1,12,11,13,0,-,127.999285714,0.027027027026999998,CC15
61_ls-jac18,582,13,13,1,1,12,10,13,0,-,59.742571428599994,0.052631578947400004,CC15
34_ls-jac18,15,13,13,1,1,12,11,13,0,-,103.482428571,0.0408163265306,CC15
P033-9_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,74.7644285714,0.0294117647059,CC22
P012-14_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,107.631285714,0.078431372549,CC22
P044-5_blood-elf17,22,7,6,1,5,8,8,6,0,-,129.399571429,0.0283018867925,CC22
P014-10_softtissue-elf17,927,7,155,1,5,8,8,6,0,-,109.35799999999999,0.0294117647059,CC22
NC_1450-55-bjd18,22,7,6,1,5,8,8,6,0,-,68.4557142857,0.0769230769231,CC22
NC_1052-10-bjd18,22,7,6,1,5,8,8,6,0,-,74.3764285714,0.08695652173910001,CC22
NC_1091-13-bjd18,22,7,6,1,5,8,8,6,0,-,120.806428571,0.0983606557377,CC22
P096-11_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,106.273285714,0.0344827586207,CC22
P092-15_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,93.0394285714,0.0325203252033,CC22
NC_1367-46-bjd18,22,7,6,1,5,8,8,6,0,-,70.1915714286,0.0909090909091,CC22
P073-7_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,80.7452857143,0.075,CC22
141-NC4-jid18,22,7,6,1,5,8,8,6,arcC_7/trun,-,95.13685714290001,0.119047619048,CC22
P068-8_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,84.5058571429,0.10810810810799999,CC22
P065-10_blood-elf17,22,7,6,1,5,8,8,6,0,-,109.332714286,0.0555555555556,CC22
NC_1480-58-bjd18,737,7,6,1,70,8,8,6,0,-,100.416428571,0.075,CC22
P071-7_softtissue-elf17,22,7,6,1,5,8,8,6,0,-,89.06,0.0377358490566,CC22
NC_1319-38-bjd18,30,2,2,2,2,6,3,2,0,-,52.967428571400006,0.106060606061,CC30
NC_1247-26-bjd18,30,2,2,2,2,6,3,2,0,-,62.568000000000005,0.0882352941176,CC30
AD_1540-72-bjd18,30,2,2,2,2,6,3,2,0,-,69.3394285714,0.06666666666669999,CC30
NC_1236-25-bjd18,39,2,2,2,2,2,2,2,0,-,90.31700000000001,0.0909090909091,CC30
NC_1334-40-bjd18,30,2,2,2,2,6,3,2,0,-,89.95328571430001,0.09259259259260001,CC30
NC_1177-21-bjd18,30,2,2,2,2,6,3,2,0,-,105.450428571,0.0686274509804,CC30
NC_1356-44-bjd18,39,2,2,2,2,2,2,2,0,-,65.18357142859999,0.0731707317073,CC30
P019-10_blood-elf17,39,2,2,2,2,2,2,2,0,-,106.437714286,0.052631578947400004,CC30
NC_1493-60-bjd18,5522*?,2,2,731*?,2,6,3,2,glpF_731/2snp23holes,glpF_731/edge2.0,59.665285714300005,0.5,CC30
P004-6_softtissue-elf17,30,2,2,2,2,6,3,2,0,-,112.888857143,0.0307692307692,CC30
NC_1419-54-bjd18,30,2,2,2,2,6,3,2,0,-,57.96257142859999,0.130434782609,CC30
NC_1029-04-bjd18,30,2,2,2,2,6,3,2,0,-,47.1211428571,0.14285714285700002,CC30
NC_1024-03-bjd18,39,2,2,2,2,2,2,2,0,-,55.8948571429,0.08,CC30
P015-8_softtissue-elf17,34,8,2,2,2,6,3,2,0,-,79.8107142857,0.0377358490566,CC30
NC_1475-56-bjd18,34,8,2,2,2,6,3,2,0,-,49.569714285699995,0.0882352941176,CC30
P011-9_blood-elf17,36,2,2,2,2,3,3,2,0,-,88.53057142860001,0.0769230769231,CC30
NC_1055-11-bjd18,30,2,2,2,2,6,3,2,0,-,65.8757142857,0.134615384615,CC30
NC_1157-20-bjd18,30,2,2,2,2,6,3,2,0,-,52.5061428571,0.08695652173910001,CC30
P055-6_blood-elf17,30,2,2,2,2,6,3,2,0,-,85.2837142857,0.046511627906999996,CC30
P026-6_softtissue-elf17,189,28,2,2,2,6,3,2,0,-,83.3455714286,0.046511627906999996,CC30
P085-7_softtissue-elf17,30,2,2,2,2,6,3,2,0,-,73.35,0.0294117647059,CC30
P094-14_softtissue-elf17,36,2,2,2,2,3,3,2,0,-,101.67214285700001,0.029702970297,CC30
P095-20_softtissue-elf17,30*,2,2,2*,2,6,3,2,glpF_2/1snp,-,110.635857143,0.029850746268700004,CC30
250-NC3-jid18,30,2,2,2,2,6,3,2,0,-,92.9537142857,0.0645161290323,CC30
22_ls-jac18,39,2,2,2,2,2,2,2,0,-,62.354285714300005,0.0769230769231,CC30
157_NC5-jid18,5522*,2,2,731*,2,6,3,2,glpF_731/2snp,-,89.161,0.5,CC30
149-NC1-jid18,30,2,2,2,2,6,3,2,0,-,165.047428571,0.0769230769231,CC30
147-NC5-jid18,30,2,2,2,2,6,3,2,0,-,115.652,0.05208333333330001,CC30
